19_d500_21_0_badger_2016-05-01,19_d500_21_1_badger_2017-05-01,19_d500_25_0_badger_2013-10-01,19_d500_26_0_badger_2015-09-01,19_d500_26_1_badger_2016-06-01,19_d500_26_2_badger_2016-04-01,27_d500_138_0_badger_2020-02-01,27_d500_142_0_badger_2015-06-01,27_d500_142_1_badger_2017-06-01,27_d500_145_0_badger_2017-06-01,27_d500_146_0_badger_2011-10-01,27_d500_147_0_badger_2014-07-01,27_d500_149_0_badger_2014-12-01,27_d500_150_0_badger_2013-09-01,27_d500_26_0_badger_2012-12-01,27_d500_90_0_badger_2020-02-01,2_d500_43_2_badger_2020-02-01,2_d500_9_0_badger_2012-06-01,2_d500_9_1_badger_2015-09-01,2_d500_9_2_badger_2013-10-01,2_d500_9_3_badger_2020-02-01,2_d500_9_4_badger_2020-02-01,2_d500_9_5_badger_2019-11-01,40002135_10_cattle_2019-05-01,40002135_11_cattle_2019-05-01,40002135_12_cattle_2019-05-01,40002135_13_cattle_2019-05-01,40002135_14_cattle_2019-05-01,40002135_15_cattle_2019-05-01,40002135_16_cattle_2019-05-01,40002135_17_cattle_2019-05-01,40002135_18_cattle_2019-05-01,40002135_19_cattle_2019-05-01,40002135_20_cattle_2019-05-01,40002135_21_cattle_2019-05-01,40002135_22_cattle_2019-05-01,40002135_23_cattle_2019-05-01,40002135_24_cattle_2019-05-01,40002135_25_cattle_2019-05-01,40002135_26_cattle_2019-05-01,40002135_7_cattle_2019-05-01,40002135_8_cattle_2019-05-01,40002135_9_cattle_2019-04-01,40002_1_boar_2014-10-01,40002_3_boar_2020-02-01,40002_4_boar_2020-02-01,40002_5_boar_2020-02-01,40024002_0_cattle_2018-12-01,40024002_1_cattle_2019-03-01,40024002_2_cattle_2019-03-01,40024002_3_cattle_2019-03-01,40024_1_boar_2016-01-01,40024_2_boar_2018-02-01,40024_3_boar_2018-11-01,40024_4_boar_2018-11-01,40024_5_boar_2020-02-01,40024_6_boar_2020-02-01,40089001_0_cattle_2011-07-01,40089001_10_cattle_2014-11-01,40089001_11_cattle_2014-10-01,40089001_12_cattle_2014-11-01,40089001_13_cattle_2014-11-01,40089001_14_cattle_2014-11-01,40089001_15_cattle_2014-11-01,40089001_16_cattle_2014-11-01,40089001_17_cattle_2014-11-01,40089001_18_cattle_2014-11-01,40089001_19_cattle_2014-11-01,40089001_1_cattle_2010-04-01,40089001_20_cattle_2014-11-01,40089001_21_cattle_2014-11-01,40089001_25_cattle_2017-12-01,40089001_26_cattle_2019-02-01,40089001_2_cattle_2014-11-01,40089001_3_cattle_2014-11-01,40089001_4_cattle_2014-11-01,40089001_5_cattle_2014-11-01,40089001_6_cattle_2014-11-01,40089001_7_cattle_2014-11-01,40089001_8_cattle_2014-11-01,40089001_9_cattle_2014-11-01,40089068_0_cattle_2018-12-01,40089068_1_cattle_2019-04-01,40089068_2_cattle_2019-04-01,40089077_0_cattle_2017-02-01,40089_0_boar_2010-11-01,40089_1_boar_2013-07-01,40089_2_boar_2016-03-01,40089_3_boar_2015-07-01,40089_6_boar_2020-02-01,40203_0_boar_2017-11-01,40270003_13_cattle_2013-05-01,40270003_19_cattle_2013-03-01,40270003_26_cattle_2013-05-01,40270003_34_cattle_2013-05-01,40270003_35_cattle_2019-05-01,40270003_36_cattle_2019-03-01,40270003_37_cattle_2019-03-01,40270003_38_cattle_2019-05-01,40270003_39_cattle_2019-03-01,40270003_40_cattle_2019-03-01,40270003_41_cattle_2019-03-01,40270003_7_cattle_2013-03-01,40270015_0_cattle_2014-12-01,40270026_0_cattle_2013-12-01,40270026_1_cattle_2014-10-01,40270033_0_cattle_2014-01-01,40270033_1_cattle_2014-01-01,40270033_2_cattle_2015-12-01,40270033_3_cattle_2016-04-01,40270033_4_cattle_2018-04-01,40270033_5_cattle_2018-04-01,40270033_6_cattle_2018-04-01,40270033_7_cattle_2018-04-01,40270033_8_cattle_2020-02-01,40270033_9_cattle_2020-02-01,40270057_0_cattle_2018-11-01,40270057_1_cattle_2019-10-01,40270057_2_cattle_2019-03-01,40270057_3_cattle_2019-07-01,40270057_4_cattle_2019-03-01,40270057_5_cattle_2019-03-01,40270057_6_cattle_2019-03-01,40270057_7_cattle_2019-03-01,40270058_0_cattle_2012-09-01,40270058_11_cattle_2012-09-01,40270058_12_cattle_2012-09-01,40270058_13_cattle_2012-09-01,40270058_14_cattle_2012-09-01,40270058_16_cattle_2012-09-01,40270058_17_cattle_2012-09-01,40270058_18_cattle_2012-09-01,40270058_19_cattle_2012-09-01,40270058_1_cattle_2012-09-01,40270058_20_cattle_2012-09-01,40270058_21_cattle_2012-09-01,40270058_22_cattle_2012-09-01,40270058_24_cattle_2012-09-01,40270058_27_cattle_2012-09-01,40270058_28_cattle_2012-09-01,40270058_29_cattle_2012-09-01,40270058_2_cattle_2012-09-01,40270058_30_cattle_2012-09-01,40270058_31_cattle_2012-09-01,40270058_34_cattle_2012-09-01,40270058_35_cattle_2012-09-01,40270058_37_cattle_2012-09-01,40270058_38_cattle_2012-09-01,40270058_39_cattle_2012-09-01,40270058_3_cattle_2011-05-01,40270058_40_cattle_2012-09-01,40270058_41_cattle_2012-09-01,40270058_42_cattle_2012-09-01,40270058_43_cattle_2012-09-01,40270058_44_cattle_2012-09-01,40270058_48_cattle_2012-09-01,40270058_49_cattle_2012-09-01,40270058_4_cattle_2012-09-01,40270058_50_cattle_2012-09-01,40270058_51_cattle_2012-09-01,40270058_53_cattle_2012-09-01,40270058_55_cattle_2012-09-01,40270058_56_cattle_2012-09-01,40270058_5_cattle_2012-08-01,40270058_62_cattle_2017-11-01,40270058_63_cattle_2016-02-01,40270058_64_cattle_2018-02-01,40270058_65_cattle_2017-11-01,40270058_66_cattle_2017-11-01,40270058_67_cattle_2017-11-01,40270058_68_cattle_2017-11-01,40270058_69_cattle_2017-08-01,40270058_70_cattle_2017-11-01,40270058_71_cattle_2017-11-01,40270058_72_cattle_2017-11-01,40270058_73_cattle_2017-11-01,40270058_74_cattle_2018-08-01,40270058_75_cattle_2017-11-01,40270058_76_cattle_2018-02-01,40270058_77_cattle_2018-08-01,40270058_78_cattle_2019-05-01,40270058_7_cattle_2012-09-01,40270058_80_cattle_2019-05-01,40270058_81_cattle_2019-05-01,40270058_82_cattle_2019-08-01,40270058_83_cattle_2019-08-01,40270058_84_cattle_2020-02-01,40270058_9_cattle_2012-09-01,40270067_0_cattle_2019-02-01,40270067_1_cattle_2018-12-01,40270067_2_cattle_2019-02-01,40270_0_boar_2014-01-01,40270_12_boar_2013-12-01,40270_13_boar_2013-12-01,40270_14_boar_2014-08-01,40270_16_boar_2014-06-01,40270_18_boar_2016-06-01,40270_19_boar_2015-01-01,40270_1_boar_2012-06-01,40270_20_boar_2016-10-01,40270_21_boar_2015-10-01,40270_22_boar_2016-05-01,40270_24_boar_2016-03-01,40270_25_boar_2017-08-01,40270_26_boar_2016-08-01,40270_27_boar_2020-02-01,40270_28_boar_2017-02-01,40270_29_boar_2016-11-01,40270_2_boar_2013-05-01,40270_31_boar_2020-02-01,40270_32_boar_2017-01-01,40270_33_boar_2020-02-01,40270_34_boar_2018-03-01,40270_36_boar_2019-01-01,40270_38_boar_2019-04-01,40270_39_boar_2020-02-01,40270_3_boar_2015-10-01,40270_40_boar_2020-02-01,40270_41_boar_2020-02-01,40270_43_boar_2019-12-01,40270_44_boar_2020-02-01,40270_45_boar_2019-11-01,40270_46_boar_2020-02-01,40270_47_boar_2019-03-01,40270_48_boar_2020-02-01,40270_4_boar_2012-04-01,40270_50_boar_2020-02-01,40270_51_boar_2020-02-01,40270_52_boar_2020-02-01,40270_53_boar_2020-02-01,40270_54_boar_2020-02-01,40270_55_boar_2020-02-01,40270_56_boar_2020-02-01,40270_6_boar_2012-12-01,40321002_11_cattle_2015-02-01,40321002_13_cattle_2015-02-01,40321002_17_cattle_2015-04-01,40325_4_boar_2019-06-01,45_d500_124_0_badger_2015-07-01,45_d500_152_0_badger_2013-06-01,45_d500_99_866_1_badger_2010-03-01,64281008_0_cattle_2017-05-01,64281008_1_cattle_2016-05-01,64281008_2_cattle_2017-09-01,64281008_3_cattle_2017-09-01,64281_2_boar_2020-02-01,64349068_10_cattle_2012-07-01,64420012_1_cattle_2010-02-01,64420012_2_cattle_2010-02-01,64420012_3_cattle_2010-04-01,64420012_4_cattle_2010-02-01,64420012_5_cattle_2010-04-01,64420015_0_cattle_2009-01-01,64420015_10_cattle_2009-01-01,64420015_11_cattle_2009-01-01,64420015_12_cattle_2009-01-01,64420015_13_cattle_2009-01-01,64420015_14_cattle_2009-01-01,64420015_15_cattle_2009-01-01,64420015_16_cattle_2009-01-01,64420015_17_cattle_2009-01-01,64420015_18_cattle_2009-01-01,64420015_19_cattle_2009-01-01,64420015_1_cattle_2007-10-01,64420015_20_cattle_2009-01-01,64420015_21_cattle_2009-01-01,64420015_22_cattle_2009-01-01,64420015_23_cattle_2009-01-01,64420015_24_cattle_2009-01-01,64420015_25_cattle_2009-01-01,64420015_26_cattle_2009-01-01,64420015_27_cattle_2009-01-01,64420015_28_cattle_2009-01-01,64420015_29_cattle_2009-01-01,64420015_2_cattle_2008-12-01,64420015_30_cattle_2009-01-01,64420015_31_cattle_2009-01-01,64420015_32_cattle_2009-01-01,64420015_3_cattle_2007-11-01,64420015_4_cattle_2009-01-01,64420015_5_cattle_2009-01-01,64420015_6_cattle_2009-01-01,64420015_7_cattle_2009-01-01,64420015_8_cattle_2009-01-01,64420015_9_cattle_2009-01-01,64420038_0_cattle_2013-10-01,64420038_1_cattle_2012-12-01,64420038_2_cattle_2013-09-01,64420038_3_cattle_2013-10-01,64501006_0_cattle_2020-02-01,64501006_1_cattle_2020-02-01,64501044_74_cattle_2020-02-01,64501044_76_cattle_2019-12-01,64501_15_boar_2020-02-01,64501_16_boar_2019-05-01
0,0.7598480303938719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06518696260747839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10437912417516607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009598080383923213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0.10797840431913738,0,0,0,0,0,0,0.28954209158168503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15876824635073264,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,7.998400319936012e-4,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,5.998800239952009e-4,0.0017996400719856025,0,0.04639072185562874,7.998400319936012e-4,0.0019996000799840027,0,0,0.0011997600479904018,0.022195560887822388,0.0019996000799840027,0.10017996400719953,0,0,0,0,0,0,0.013397320535892805,0,0.0019996000799840027,0.0019996000799840027,0,0,0,0.0019996000799840027,0,0,0,0,0.0019996000799840027,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0.0899820035992808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06738652269546086,0,0,0,0,0,0,0,0
0,0,0,0,0.01059788042391521,0.032793441311737566,0,0,0,0,0,0,0,0,0,0,0,0,0.1821635672865462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037392521495700756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02159568086382719,0,0,0,0,0,9.998000399920016e-4,0,0,0.06758648270345927,0,0,1.999600079984003e-4,0,0,0.009198160367926414,0,0,0,0,0,0,0,0,0,0.051789642071585526,0,0,0.03479304139172156,0,0.02099580083983199,0.07638472305538915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013197360527894405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008398320335932815,0.13137372525495095,0,0.018996200759847995,0.03599280143971196,0.011797640471905608,0,0.0045990801839632086,0.002199560087982403,0,0.051589682063587126,9.998000399920016e-4,0,0,7.998400319936012e-4,0,0,0,0,0,0.14137172565487127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01099780043991201,0,0,0,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009798040391921612,0,0,0,0,0,0
0,0,0,3.999200159968006e-4,0,0.09198160367926486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0,0,0.001399720055988802,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539892021595681,0,0.37792441511696845,0,0.002199560087982403,0,0,0.012997400519896006,0.004399120175964808,0,0,0,0,0,0,0,0,0.004199160167966408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.007798440311937616,0.26594681063787634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005998800239952012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020195960807838392,0,0,0.012197560487902407,0,0,0.01099780043991201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018196360727854397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,7.998400319936012e-4,0,0.04519096180763834,1.999600079984003e-4,0.25274945010998334,0,0.017396520695860798,0,0,0.05338932213557272,0.014197160567886403,0,0,0,0,0,0,0,0,0.04919016196760633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012997400519896006,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014397120575884803,0,0,0,0,0,0.002199560087982403,0.03039392121575677,0,0,0,0.06498700259947998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.014797040591881602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032593481303739166,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0.5344931013796991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1083783243351342,0.014997000599880001,0.23935212957409047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18576284743051752,0.22035592881424185,0.2037592481503741,0.1945610877824474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3445310937812392,0.017596480703859198,0,0.006198760247950412,0.013797240551889604,0.002999400119976005,0.006598680263947213,0,0,0,0.15556888622275813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061987602479503905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,0.002999400119976005,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02659468106378718,0.0023995200959808036,0.008998200359928014,0.022595480903819187,0.023395320935812786,0.18576284743051752,0.011597680463907209,0.03539292141571676,0.2693461307738488,0.010197960407918412,0.017396520695860798,0.014197160567886403,0.007598480303939215,0.15876824635073264,0.12857428514297325,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05778844231153751,0,0,0,0,0,0.07858428314337162,0,0.008798240351929614,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
