sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,2.4838709677419355,31,1.903225806451613,31,B1_1,1
boar,0.2222222222222222,18,1.1666666666666667,18,B1_1,1
cattle,0.8023952095808383,167,0.8143712574850299,167,B1_1,1
badger,2.4838709677419355,31,1.2380952380952381,21,B1_1,2
boar,0.2222222222222222,18,1.411764705882353,17,B1_1,2
cattle,0.8023952095808383,167,0.9221556886227545,167,B1_1,2
badger,2.4838709677419355,31,1.5806451612903225,31,B1_1,3
boar,0.2222222222222222,18,0,0,B1_1,3
cattle,0.8023952095808383,167,0.8922155688622755,167,B1_1,3
badger,2.4838709677419355,31,0,0,B1_1,4
boar,0.2222222222222222,18,1.5,18,B1_1,4
cattle,0.8023952095808383,167,0.9401197604790419,167,B1_1,4
badger,2.4838709677419355,31,1.2380952380952381,21,B1_1,5
boar,0.2222222222222222,18,0,0,B1_1,5
cattle,0.8023952095808383,167,0.9640718562874252,167,B1_1,5
badger,2.4838709677419355,31,0,0,B1_1,6
boar,0.2222222222222222,18,1.3529411764705883,17,B1_1,6
cattle,0.8023952095808383,167,0.9580838323353293,167,B1_1,6
badger,0.5882352941176471,17,0.7647058823529411,17,B1_2,1
boar,0.5862068965517241,29,1.2413793103448276,29,B1_2,1
cattle,1.162162162162162,111,0.963963963963964,111,B1_2,1
badger,0.5882352941176471,17,0.9333333333333333,15,B1_2,2
boar,0.5862068965517241,29,0.8333333333333334,24,B1_2,2
cattle,1.162162162162162,111,1.0360360360360361,111,B1_2,2
badger,0.5882352941176471,17,1.0588235294117647,17,B1_2,3
boar,0.5862068965517241,29,0,0,B1_2,3
cattle,1.162162162162162,111,0.9819819819819819,111,B1_2,3
badger,0.5882352941176471,17,0,0,B1_2,4
boar,0.5862068965517241,29,0.896551724137931,29,B1_2,4
cattle,1.162162162162162,111,1.018018018018018,111,B1_2,4
badger,0.5882352941176471,17,0.9333333333333333,15,B1_2,5
boar,0.5862068965517241,29,0,0,B1_2,5
cattle,1.162162162162162,111,1,111,B1_2,5
badger,0.5882352941176471,17,0,0,B1_2,6
boar,0.5862068965517241,29,0.8333333333333334,24,B1_2,6
cattle,1.162162162162162,111,1.027027027027027,111,B1_2,6
badger,0.5172413793103449,29,1.4827586206896552,29,B1_3,1
boar,0.3333333333333333,18,1.2777777777777777,18,B1_3,1
cattle,1.352112676056338,71,0.6901408450704225,71,B1_3,1
badger,0.5172413793103449,29,1.5555555555555556,27,B1_3,2
boar,0.3333333333333333,18,1.2222222222222223,18,B1_3,2
cattle,1.352112676056338,71,0.6901408450704225,71,B1_3,2
badger,0.5172413793103449,29,1.793103448275862,29,B1_3,3
boar,0.3333333333333333,18,0,0,B1_3,3
cattle,1.352112676056338,71,0.6338028169014085,71,B1_3,3
badger,0.5172413793103449,29,0,0,B1_3,4
boar,0.3333333333333333,18,1.7222222222222223,18,B1_3,4
cattle,1.352112676056338,71,0.7746478873239436,71,B1_3,4
badger,0.5172413793103449,29,1.8148148148148149,27,B1_3,5
boar,0.3333333333333333,18,0,0,B1_3,5
cattle,1.352112676056338,71,0.647887323943662,71,B1_3,5
badger,0.5172413793103449,29,0,0,B1_3,6
boar,0.3333333333333333,18,1.7222222222222223,18,B1_3,6
cattle,1.352112676056338,71,0.7746478873239436,71,B1_3,6
badger,0.5581395348837209,43,1.930232558139535,43,B1_4,1
boar,1.3111111111111111,45,1.0666666666666667,45,B1_4,1
cattle,1.0108108108108107,370,0.8405405405405405,370,B1_4,1
badger,0.5581395348837209,43,1,37,B1_4,2
boar,1.3111111111111111,45,1.5333333333333334,45,B1_4,2
cattle,1.0108108108108107,370,0.8729729729729729,370,B1_4,2
badger,0.5581395348837209,43,1.813953488372093,43,B1_4,3
boar,1.3111111111111111,45,0,0,B1_4,3
cattle,1.0108108108108107,370,0.8540540540540541,370,B1_4,3
badger,0.5581395348837209,43,0,0,B1_4,4
boar,1.3111111111111111,45,1.3111111111111111,45,B1_4,4
cattle,1.0108108108108107,370,0.9054054054054054,370,B1_4,4
badger,0.5581395348837209,43,1.4864864864864864,37,B1_4,5
boar,1.3111111111111111,45,0,0,B1_4,5
cattle,1.0108108108108107,370,0.9162162162162162,370,B1_4,5
badger,0.5581395348837209,43,0,0,B1_4,6
boar,1.3111111111111111,45,1.3111111111111111,45,B1_4,6
cattle,1.0108108108108107,370,0.9054054054054054,370,B1_4,6
badger,0.5116279069767442,43,1.2093023255813953,43,B1_5,1
boar,2.225806451612903,31,1.1290322580645162,31,B1_5,1
cattle,0.9403973509933775,302,0.9536423841059603,302,B1_5,1
badger,0.5116279069767442,43,1.3658536585365855,41,B1_5,2
boar,2.225806451612903,31,1.064516129032258,31,B1_5,2
cattle,0.9403973509933775,302,0.9370860927152318,302,B1_5,2
NA,NA,0,0,0,B1_5,2
badger,0.5116279069767442,43,1.4883720930232558,43,B1_5,3
boar,2.225806451612903,31,0,0,B1_5,3
cattle,0.9403973509933775,302,0.9271523178807947,302,B1_5,3
badger,0.5116279069767442,43,0,0,B1_5,4
boar,2.225806451612903,31,1.3225806451612903,31,B1_5,4
cattle,0.9403973509933775,302,0.9635761589403974,302,B1_5,4
badger,0.5116279069767442,43,1.3902439024390243,41,B1_5,5
boar,2.225806451612903,31,0,0,B1_5,5
cattle,0.9403973509933775,302,0.9403973509933775,302,B1_5,5
NA,NA,0,0,0,B1_5,5
badger,0.5116279069767442,43,0,0,B1_5,6
boar,2.225806451612903,31,1.3225806451612903,31,B1_5,6
cattle,0.9403973509933775,302,0.9635761589403974,302,B1_5,6
badger,0.8333333333333334,18,2.1666666666666665,18,B1_6,1
boar,0.18181818181818182,22,1.0454545454545454,22,B1_6,1
cattle,1.2702702702702702,74,0.6891891891891891,74,B1_6,1
badger,0.8333333333333334,18,1.6470588235294117,17,B1_6,2
boar,0.18181818181818182,22,1,22,B1_6,2
cattle,1.2702702702702702,74,0.8378378378378378,74,B1_6,2
badger,0.8333333333333334,18,1.8333333333333333,18,B1_6,3
boar,0.18181818181818182,22,0,0,B1_6,3
cattle,1.2702702702702702,74,0.7837837837837838,74,B1_6,3
badger,0.8333333333333334,18,0,0,B1_6,4
boar,0.18181818181818182,22,1.2727272727272727,22,B1_6,4
cattle,1.2702702702702702,74,0.9054054054054054,74,B1_6,4
badger,0.8333333333333334,18,2.0588235294117645,17,B1_6,5
boar,0.18181818181818182,22,0,0,B1_6,5
cattle,1.2702702702702702,74,0.7432432432432432,74,B1_6,5
badger,0.8333333333333334,18,0,0,B1_6,6
boar,0.18181818181818182,22,1.2727272727272727,22,B1_6,6
cattle,1.2702702702702702,74,0.9054054054054054,74,B1_6,6
badger,0.7204301075268817,93,0.6881720430107527,93,B1_7,1
boar,2,24,3.6666666666666665,24,B1_7,1
cattle,1.0057142857142858,175,0.7942857142857143,175,B1_7,1
badger,0.7204301075268817,93,0.7159090909090909,88,B1_7,2
boar,2,24,4.166666666666667,24,B1_7,2
cattle,1.0057142857142858,175,0.7028571428571428,175,B1_7,2
badger,0.7204301075268817,93,0.8709677419354839,93,B1_7,3
boar,2,24,0,0,B1_7,3
cattle,1.0057142857142858,175,1.062857142857143,175,B1_7,3
